,NOME,TELEFONE,CATEGORIA,SUBCATEGORIA,CIDADE,UF,EMAIL,EMPRESA,STATUS,ULTIMA_COMPRA,ORIGEM_LEAD,DATA_CADASTRO,RESPONSAVEL,PRIORIDADE,VALOR_POTENCIAL,ETAPA_FUNIL,PROXIMO_CONTATO,OBSERVACOES,TAGS,TELEFONE_2,WHATSAPP,LINKEDIN,INSTAGRAM,CARGO,,CEP,ID_CONTATO,LEAD_SCORE,RESPONSAVEL,DATA_CADASTRO,DATA_ULTIMA_INTERACAO
FALSE,Patricia Souza,5514918265659,FORNECEDOR,Palanques,Paraguacu Paulista,SP,patricia.souza@email.com,Palanques Mendes,ATIVO,2025-11-05,,,,,,,,,,,,,,,,,,,,,
FALSE,Ana Souza,5515933075260,CLIENTE,Tratamento CCA,Assis,SP,ana.souza@email.com,Tratamento CCA Alves,ATIVO,2025-02-20,,,,,,,,,,,,,,,,,,,,,
FALSE,Carlos Ferreira,5518916797240,CLIENTE,Briquetes,Piraju,SP,carlos.ferreira@email.com,Briquetes Ferreira,ATIVO,2025-11-28,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruno Mendes,5517971676888,TRANSPORTADOR,Mouroes,Tupa,SP,bruno.mendes@email.com,Mouroes Rodrigues,NOVO,2025-12-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Aline Gomes,5517937521501,FORNECEDOR,Estacas,Ribeirao Preto,SP,aline.gomes@email.com,Estacas Rodrigues,NOVO,2025-03-25,D1,,,,,,,,,,,,,,,,,,,,
FALSE,Felipe Carvalho,5518960987365,FORNECEDOR,Eucalipto Verde,Piraju,SP,felipe.carvalho@email.com,Eucalipto Verde Carvalho,NOVO,2025-06-08,,,,,,,,,,,,,,,,,,,,,
FALSE,Fernanda Dias,5514960511021,CLIENTE,Eucalipto Verde,Bauru,SP,fernanda.dias@email.com,Eucalipto Verde Rocha,ATIVO,2025-10-28,,,,,,,,,,,,,,,,,,,,,
FALSE,Fernanda Martins,5516926263977,FORNECEDOR,Briquetes,Tupa,SP,fernanda.martins@email.com,Briquetes Carvalho,NOVO,2025-05-28,,,,,,,,,,,,,,,,,,,,,
FALSE,Camila Nunes,5517952235860,FORNECEDOR,Tratamento CCA,Tupa,SP,camila.nunes@email.com,Tratamento CCA Rodrigues,ATIVO,2025-11-28,,,,,,,,,,,,,,,,,,,,,
FALSE,Joao Oliveira,5516950715833,FORNECEDOR,Cavacos,Rancharia,SP,joao.oliveira@email.com,Cavacos Oliveira,ATIVO,2025-08-08,,,,,,,,,,,,,,,,,,,,,
FALSE,Rafael Dias,5518999885247,FORNECEDOR,Lenha,Botucatu,SP,rafael.dias@email.com,Lenha Souza,ATIVO,2025-11-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Aline Carvalho,5514963463291,FORNECEDOR,Estacas,Presidente Prudente,SP,aline.carvalho@email.com,Estacas Alves,NOVO,2025-10-27,,,,,,,,,,,,,,,,,,,,,
FALSE,Juliana Pereira,5517981573439,FORNECEDOR,Briquetes,Botucatu,SP,juliana.pereira@email.com,Briquetes Gomes,ATIVO,2025-11-10,,,,,,,,,,,,,,,,,,,,,
FALSE,Julia Pereira,5514971448212,FORNECEDOR,Briquetes,Rancharia,SP,julia.pereira@email.com,Briquetes Lima,NOVO,2025-02-06,,,,,,,,,,,,,,,,,,,,,
FALSE,Felipe Santos,5514953719464,FORNECEDOR,Briquetes,Botucatu,SP,felipe.santos@email.com,Briquetes Moreira,NOVO,2025-09-25,,,,,,,,,,,,,,,,,,,,,
FALSE,Lucas Rocha,5518992243312,FORNECEDOR,Cavacos,Tupa,SP,lucas.rocha@email.com,Cavacos Nunes,VIP,2025-11-15,,,,,,,,,,,,,,,,,,,,,
FALSE,Felipe Rocha,5517933228274,FORNECEDOR,Cavacos,Londrina,PR,felipe.rocha@email.com,Cavacos Rocha,NOVO,2025-08-26,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruno Mendes,5517939746901,FORNECEDOR,Cavacos,Piraju,SP,bruno.mendes@email.com,Cavacos Ferreira,ATIVO,2025-11-06,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Pereira,5514962708393,FORNECEDOR,Briquetes,Botucatu,SP,pedro.pereira@email.com,Briquetes Gomes,NOVO,2025-01-04,,,,,,,,,,,,,,,,,,,,,
FALSE,Felipe Gomes,5517996091872,FORNECEDOR,Mouroes,Bauru,SP,felipe.gomes@email.com,Mouroes Gomes,NOVO,2025-02-13,,,,,,,,,,,,,,,,,,,,,
FALSE,Juliana Rocha,5514958161955,FORNECEDOR,Tratamento CCA,Uberlandia,MG,juliana.rocha@email.com,Tratamento CCA Gomes,ATIVO,2025-08-14,,,,,,,,,,,,,,,,,,,,,
FALSE,Ana Alves,5514962873553,FORNECEDOR,Tratamento CCA,Candido Mota,SP,ana.alves@email.com,Tratamento CCA Ribeiro,NOVO,2025-01-09,,,,,,,,,,,,,,,,,,,,,
FALSE,Pedro Rodrigues,5515983807904,FORNECEDOR,Lenha,Avare,SP,pedro.rodrigues@email.com,Lenha Costa,NOVO,2025-05-23,,,,,,,,,,,,,,,,,,,,,
FALSE,Ricardo Gomes,5515954064664,FORNECEDOR,Madeira Bruta,Marilia,SP,ricardo.gomes@email.com,Madeira Bruta Silva,VIP,2025-04-12,,,,,,,,,,,,,,,,,,,,,
FALSE,Camila Mendes,5514987288327,FORNECEDOR,Palanques,Maringa,PR,camila.mendes@email.com,Palanques Nunes,NOVO,2025-04-13,,,,,,,,,,,,,,,,,,,,,
FALSE,Maria Rodrigues,5515941411070,FORNECEDOR,Madeira Bruta,Tupa,SP,maria.rodrigues@email.com,Madeira Bruta Martins,ATIVO,2025-11-05,,,,,,,,,,,,,,,,,,,,,
FALSE,Juliana Rocha,5518994221359,FORNECEDOR,Mouroes,Marilia,SP,juliana.rocha@email.com,Mouroes Gomes,VIP,2025-09-15,,,,,,,,,,,,,,,,,,,,,
FALSE,Patricia Pereira,5514941274750,FORNECEDOR,Tratamento CCA,Maringa,PR,patricia.pereira@email.com,Tratamento CCA Santos,ATIVO,2025-09-15,,,,,,,,,,,,,,,,,,,,,
FALSE,Rafael Silva,5516951572305,FORNECEDOR,Eucalipto Verde,Goiania,GO,rafael.silva@email.com,Eucalipto Verde Lima,NOVO,2025-01-25,,,,,,,,,,,,,,,,,,,,,
FALSE,Lucas Pereira,5516985120468,FORNECEDOR,Mouroes,Bauru,SP,lucas.pereira@email.com,Mouroes Gomes,ATIVO,2025-06-21,,,,,,,,,,,,,,,,,,,,,
FALSE,Bruno Silva,5514918826612,FORNECEDOR,Briquetes,Paraguacu Paulista,SP,bruno.silva@email.com,Briquetes Gomes,ATIVO,2025-05-16,,,,,,,,,,,,,,,,,,,,,
FALSE,Camila Pereira,5514989781669,FORNECEDOR,Cavacos,Ourinhos,SP,camila.pereira@email.com,Cavacos Oliveira,NOVO,2025-01-06,,,,,,,,,,,,,,,,,,,,,
FALSE,Rafael Souza,5516959713357,FORNECEDOR,Palanques,Botucatu,SP,rafael.souza@email.com,Palanques Rodrigues,ATIVO,2025-02-19,,,,,,,,,,,,,,,,,,,,,
